text,label,notes
I guess I haven’t been paying enough attention to the conditions they have been going through. Just the pure look of defeat on his face reveals so much. They deserve better.,reaction,
CANADIAN HERITAGE MOMENT,reaction,
"True but Bielsa is known for not changing. At his age it’s crazy to think he would change now. He was hired for his system and the players wouldn’t buy in or just don’t fit the system, I don’t know Uruguay enough to know which it is. Regardless it’s on the higher ups",analysis,
Ochoa’s performance was arguably better than Navas’ in 2014 WC and he barely played in a Top 5 league whereas Navas went to Real Madrid and had a legendary career there. Ochoa’s performance vs Brazil still feeds Mexicans.,analysis,
Messi made him break character Hahaha,reaction,
"Deservedly so, they were the better team, committed players to attack and tried move the ball quickly to make something happen, albeit with not a lot of quality. Not entirely sure what South Africa were doing to be honest, never really got anything going, barely made a chance all game, on the odd occasion they did manage to attack they'd just shoot from miles out. Bit disappointing.",analysis,
Chaves legend Eustáquio,reaction,
I blame this on Uruguay's FA. Everyone and their nan knows how Bielsa likes to play. You have a bunch of players that don't like that? Don't get that manager.,hot_take,
Deserved South Africa were offering nothing,hot_take,borderline analysis/hot_take (vague justification -> hot_take)
Best Portuguese midfielder at the world cup,hot_take,
And why was it moved in 2022? To send it to a miserable human rights coffin like Qatar. Don't forget this please,hot_take,
No no everyone saying he's the most overrated coach ever and people like Guardiola are apparently idiots for thinking Bielsa is good,hot_take,
"This sub is going to melt down again in 2030 when Portugal is co-hosting the World Cup, has an absurdly easy group, and 46-year-old Cristiano Ronaldo subs on for a handful of tap ins.",hot_take,
Rough for the Keeper who kept them in it and deserved Extra Time but deserved for Canada by now.,hot_take,
Does Messi ever make it back to the dressing room with his jersey? Lmao,reaction,
"Brah, how does Bielsa nor bear a majority of the responsibility here? I get we're supposed to empathize with him due to this sad quote but he alienated the squad multiple times, alienated the staff, didn't budge on any tactical/instructional work, and was the guy who decided to wheel out 500-year-old Muslera for 2.5 games, costing the team at least 4 points",analysis,
Real Madrid fans fighting to blame Vino and Mbappe for their issues when this rat is in the same locker room trying to fight his teammate. I have no doubt he was in Vini's ear talking shit about Xabi Alonso from day one. Glad he's getting exposed,hot_take,
"So that's why he won in 2022, no post-birthday hangover",reaction,
At least in Germany ads on public TV broadcasts are heavily restricted by law. They are allowed to show 20 minutes of ads per day and only before 8pm.,analysis,
Absolute piss missile,reaction,
Mehdi was not letting the reporter change the subject. Loved it,reaction,
Congrats Canada!,reaction,
"Which was pretty controversial, Ochoa was the better goalie then",hot_take,
It's awful that more teams haven't spoke out about this too. Where's the support for fellow professionals???,reaction,
Thank you for not making me watch 30 more minutes of this,reaction,
I mean hes at rm for a reason lol,hot_take,
Did he have a deep dish pizza and say f** it I'm in where do I sign,reaction,
Yeah the whole of Europe does. Yanks can try to f** the game up with their adds but it won’t work here,hot_take,
Full volley oh my GOD,reaction,
"MLS has a unique structure around this called ""Designated Players"". Each team has a $6.4 million dollar annual budget to fill out 20 of their roster slots but then they have three roster slots for DPs which don't need to fit inside the Salary Budget. The result is 20 players with an average salary of $320k per year and then 2-3 notable players per team where the sky is the limit.",analysis,
"I'm convinced if it was any other old player, no one would be saying how ""weird"" it is lol.",hot_take,
"He said ""My Back"" not I'm back",reaction,
We might get to see a repeat of the 5 goals in 9 minutes,reaction,
What a strike too,reaction,
"Ehh at least Bielsa is consistent, shouldn’t have been hired if they didn’t want his coaching style",hot_take,
"He played in Ligue 1 for Ajaccio, one of the smallest team in the league, struggling every year against relegation. He was set to sign for PSG during the summer of 2011, but was positive for a doping substance before being cleared, so PSG bought Sirigu instead. He could have been the first goalkeeper of the Qatari era.",analysis,
I enjoyed the breaks because I was watching on those broadcasters and was surprised everyone else hated them. f*** ads.,reaction,
"You have a world cup only once every 4 years. How the f** are you so spoiled that you can't coexist with some people for 2-3 weeks? Not a year, a couple of weeks. Shame on everyone for this toxic situation, they made their whole country feel ashamed with their selfish behaviour.",hot_take,
"Infantino is the presidents puppet, the guy should be nowhere near that job, the amount of corruption is insane",hot_take,
I CAN BELIEVE WHAT I JUST SAW JESSE MARSCH SAID IT: NOW YOU ARE ALL CANADIAN HEROES 🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦,reaction,
Finally a Portuguese that does something at this WC,reaction,
rule where a team can sign up to 3 players whose salaries don't count towards the cap They can actually sign up to 6 whose salaries don't fully affect the cap. 2/3 Designated Players and 4/3 U-22 Initiative Players (how many U-22 you can sign depends on how many DPs you sign.) The league has been incentivizing signing younger costlier imports for several years now.,analysis,
"What a glorious day for Canada and, therefore, the world",reaction,
This sub can't convince me of this guy being a bad coach. When he had serious players at Athletic and Leeds he played amazing football. A guy like Valverde has tanked 3 coaches in the last 6 months and somehow everyone is still behind him lol. Teams are always ruined by egomaniac players and people never learn.,analysis,
He would of been subbed out earlier with a lead like that to rest him for future games if he wasn't on a hat trick. Can't really deny Ronaldo the hat trick opportunity if it's attainable especially with a solid lead.,analysis,
"I expect most of the public WC broadcasts around are the same. Our taxes are already paying for the show and the purpose of those channels isn't profit, so there's no need for ads. Focus on what matters. But it's a completely foreign concept to an American audience, so I get the bragging from telemundo. Good on them",analysis,
LET'S GOOOO MAPLE PEOPLE,reaction,
"It's even crazier with the Guðjohnsens, grandfather, father, and 3 sons, all played for Iceland. And then there's another one that played for Swansea but never made the Iceland team.",analysis,
Against the mighty Uzbekistan,reaction,
"A close one, but not quite - Hungary's Pál Dárdai played for the national team as have/do his 3 sons. His father (also Pál Dárdai), or the grandfather in this scenario, played football professionally too, but not for the national team.",analysis,
You're cherry picking one of the only examples where a club stuck with a struggling manager and found success. What about the hundreds of other clubs who fired their managers and improved,analysis,
"When Infantino gave the president peace prize thing, i knew who he was right there and then. Morally corrupt brainwashed idiot",hot_take,
"The saddest thing is that Marcelo Bielsa is a very talented coach with many good ideas. But he is basically too inflexible, kind of a dictator, in managing the dressing room.",hot_take,"borderline hot_take/analysis (character claim, thin evidence -> hot_take)"
"For the the first time ever, Canada will be heading to the round of 16!!!! That goal was beautiful!! Go Canada!!!!",reaction,
"The championship and Premier league in the first season did not know what hit them with the team he created in Leeds. He is a unique character and he will not suffer for egos. You have to be fully on board to make it succeed, and there are toxic players and toxic outsiders from the very beginning with Uruguay.",analysis,
"Yea that’s the biggest thing I don’t get about people complaining of Bielsa. Bielsa is a known authoritarian figure, he won’t bend and will stick to his ways If you’re a NT needing a decisive coach that wants majority decision power he’s your guy. If you want a “hands in pockets” chill vibes coach then you go for a Ancelotti type",analysis,
Too bad more players don’t have the confidence to go for the full volley like this. It’s a lost art.,hot_take,
My f**ing sides 🙏😭,reaction,
Why did they stop rowing midgame? Senegal almost caught up.,reaction,
"Who decided to call the coach with the most radically opposite football philosophy to Uruguay's history. It's like bringing Bordalás to Barcelona. what the f*** they were thinking, of course the players weren't going to buy into it. God not even our FA is that incompetent.",hot_take,
It's because there's a salary cap to keep the league financially stable and prevent it from getting overly topheavy like most European leagues where the richest clubs dominate year in and year out. They have an exception to the salary cap called the Designated Player rule where a team can sign up to 3 players whose salaries don't count towards the cap.,analysis,
Betting ads are a disgrace and should be banned,hot_take,
Bielsa maybe the crazy one but Valverde seems to be a certified asshole.,hot_take,
"fair play to him still going for sprints and trying to win balls in minute 90 basically. it does look a bit weird taht the 41 year old isnt getting subbed but younger players are, but if he is still putting in a shift like today at the end of the match you can hardly blame the coach",analysis,
I support RM but i cant defend the clownshow of the last year,hot_take,
"Well f***, okay, fair f***ing play.",reaction,
"I'm sure it will come sadly, but the World Cup is just too high-profile to start something new like that. Advertisers would also ger nervous if they became associated with a huge negative. I imagine they start it in a smaller tournament, or maybe with little ""sponsored by"" adverts in the corner.",analysis,
"WHERE YOU f***IN AT, BEZOS??",reaction,
Geddy Lee is f***ing fired up,reaction,
He's not captain material. Definitely a great player but he's the first to disconnect while things are not going his way and just smashes the ball somewhere hoping it will go in whenever he gets it.,hot_take,"borderline hot_take/analysis (behavioral claim, thin evidence -> hot_take)"
Absolute f***in rocket,reaction,
I know he gets alot of recognition with us because we are a famous English team. But the work he did with Bilbao is seriously under rated.,hot_take,
"I beleive he wasn’t subbed out simply because he was on a hattrick and the game was already won by halftime. Letting him go at it would give him the confidence he needs to keep pushing. I do hope in a much closer game, he’d get subbed off when he’s clearly out of it",analysis,
Vikings fans will be doing this by the end of the year,reaction,
"Massively disagree. The best post within the first 5 minutes that shows adequate replays, angles, and good quality should be the one left up",hot_take,
Eidur Gudjohnsen was one of my favorite player from the 04-06 Chelsea. He was a smart player and I'd argue is very underrated.,hot_take,
I don’t get how some people can only blame Bielsa when you have a clown like Valverde who’s starting to become an expert in these kind of situations,hot_take,
I think both Sweden and Germany has split the games so that the public broadcasters shows the important games And if you want to see every game you have to privately subscribe - so both pay a monthly fee and watch ads.,analysis,
"Uruguay World Cup heritage: continuously foul (sometimes bite) everyone, create toxic environments, and win dirty when needed. Only they could have Bielsa as manager and not look like they’d ever score a goal.",hot_take,
"It's been a whole thing. FIFA gave players like Messi and Ronaldo ""Legacy"" patches for appearing in 5+ world cups. The Mexican fans complained Ochoa didnt get one, but FIFA said it was for playing not just being called up. They gave him one before the game. *I am an Ochoa fan, but it does feel like FIFA set the bar and then lowered it due to push back.",analysis,
"Crespo has said múltiple times in interviews that he still doesn't forget what happened and how he felt completely disrespected by Bielsa. Crespo quit the NT due to Bielsa's being a cunt, he only came back after Pekerman took the job. His words, not mine",analysis,
MLS football is so weird. A random team will sign a superstar and that will be their only notable player.,hot_take,
Proving once again that the US knows a thing or two about producing rockets,reaction,
"Backflips as the free bird solo plays, swore I heard an eagle screech above my house.",reaction,
He feeds on minnows. lol,hot_take,
You sitting there and saying “I know it’s not all Valverde”… well actually I somehow believe a lot of it is on him. Hes not a leader at all and he’s brought a lot of his Real Madrid drama with him. I believe the only reason hes captain is because hes the biggest player there. Nothing in this World Cup or anywhere else suggests in the slightest that this guy is fit to led a team into victory.,hot_take,
"Chicago also makes perfect financial sense. I think not many people know that the biggest polish diaspora in the US is in Chicago (rumored to be around 1 million people) and there is a 90% chance if you know somebody from poland how has family in the US its probably from Chicago or there about. Same as with Messi in Miami, with how many South Americans there live",analysis,
He’s been our best player by far,hot_take,
"There’s a few good eggs. Maxi A., Sanabria (great games and held his own against one of the best players), Olivera, Bentancur (sort of) but the majority need to go. I don’t care if you captain one of the biggest clubs in the world, if you can’t leave it all on the pitch in the biggest competition then you have no place in this team.",analysis,
Chicago continues to impress the Polish. Welcome Lewa! Excited to cheer you on in this city,reaction,
"you absolutely can, Oryazabal was. winning the cup should be prioritized over the hattricks to get there",analysis,
"With the rugby they basically said the alternative was letting the 6N go to one of the paid sub services (probably TNT) which would be much worse in my opinion. Not saying I like it by any means, but if that's necessary to keep it free to air so be it.",analysis,
Phenomenal strike,reaction,
That's why the last tournament he won was in 1998,hot_take,borderline analysis/hot_take (real fact used as decorative snark -> hot_take)
The same thing happened with Muslera from Uruguay. This is his 5th WC but 4th playing. Only difference is he didn’t get the badge even after the push back. Well I guess the law is not the same for everyone.,analysis,
"What an absolute joke. He’s was appointed as the manager, not as the head of some start up among friends.",hot_take,
As an American i saw that and just held my breath. Let’s keep our hammys healthy boys,reaction,
"It was a boring game, but it’s probably the greatest win in Canadian soccer history. edit: Canadian men's soccer history.",reaction,
Canada won the game but Mbokazi was definitely Man of the Match,hot_take,
"in the words of a legend, it's a f***ing disgrace.",reaction,
Anyone who thinks Fox is better than Telemundo is not a true fan of the sport.,hot_take,
"We in Mexico know the problem was his agent (who is also a close friend) he never got a good team because he asked way too much money... There was teams in the premier, Liga, calcio that wanted him but the agent was just bad",analysis,
we wasted so many chances. Finally one goes in,reaction,
I like Vizcarrondo but Venezuela should be all over this man to lead the team for the next World Cup qualifiers,hot_take,
What a goal by Eustaquio!!! That was a fantastic finish!!!,reaction,
Best World Cup round of 32 elimination game I've ever watched,reaction,
"Javier Hernandez' father and grandfather both played for Mexico internationally. Although, his father and grandfather are not blood related.",analysis,
The Canadian men's national team now has as many World Cup knockout round wins in the last twenty years as the women's team.,analysis,borderline analysis/hot_take (pointed stat-comparison -> analysis)
It's the weakest team he will play this tournament. Colombia will not be easy and he probably will get subbed there.,analysis,
"I think ITV is a little restrained because they know they're sharing coverage with the BBC so if they overdo it people will find it really jarring I know the games are split between the two so you don't have a choice, but the final is showed by both and you have a choice there. If they ram ads everywhere during the game no one will watch the final on ITV",analysis,
"Not many that actually humbles Zlatan, but Messi does",hot_take,
He’s asking for a back doctor but he’s gonna go to the gym and row now tho,reaction,
Could it because Ronaldo is the future boss of his current head coach? I doubt the coach would go against his future boss’s wishes,hot_take,
Bro took that V-1,reaction,
Their coach was the 16th highest paid coach at the cup and was fired previously for sucking. There is probably a legitimate case here for significant corruption.,analysis,
Agree. Some managers are good at club level but not at national teams level and viceversa.,hot_take,
Someone help this senior citizen!,reaction,
Possibly. But Benny Feilhaber scored a very similar goal at that same stadium against Mexico in the 2007 Gold Cup final. It was the game-winner IIRC.,analysis,
Ride off into the sunset my boy. This is his last appearance for the Mexican national team. He said he’s retiring after this,reaction,
"Yeah I was negative about it beforehand but didn't think I'd hate it as much as I do. Finnish Public Broadcasting Company commentator said this football is not a game of two halves anymore, it's closer to basketball with its four quarters. And as you said, even without ads it's terrible.",analysis,
the shark does not concern himself with zlatan,reaction,
"Well, more accurately that their salary above the individual cap (~800k) doesn't impact the cap. They go on the books at the cap though. For people who are interested in the highest paid MLS players.",analysis,
"Neither is Bielsa he had some fall out with Dressing room in his long career , Argentina worst world cup results in recent history came with him and even at that time he lost the squad. He is not the sole responsible but the blame is shared here",analysis,
"The Korean media as a whole likes to turn anything they can into tabloid drama, especially stuff that gains international attention and threatens to bring unbearable shame upon the entire country. I wouldn't be surprised if the coach gets treated similarly by the media to Yoo Byung-eun after the 2014 ferry disaster.",analysis,
He’s been the same coach since 1982. Him not adapting isn’t on him he is who he is legit. It’s his system. When he’s hired it’s what you get.,analysis,
But it’s definitely not a retirement league,hot_take,
The NFL (and American sports in general) having no promotion/relegation plays a HUGE part in the difference here. There's also a much smaller ecosystem with NFL coaches due to there being only one league compared to the massive infrastructure of football.,analysis,
How incredibly humble and intelligent he seems and I agree with him on everything. FIFA should be ashamed of themselves but I don't expect that to happen anytime soon.,reaction,
Zlatan not glazing himself for once.... Messi is truly the GOAT,hot_take,
Is this the narrative now? Apparently Messi didnt stat pad against Zidane Son who gifted two goal?,hot_take,
"Thank you, Homelander.",reaction,
"Captaining Arsenal to their first Prem in 22 years and his country to their first knockout round in 28 years, not a bad month for Odegaard lol",analysis,
Kinda reminds me of Brian Flores in the NFL during his head coaching tenure with the Dolphins. Brilliant defensive tactician who was held back by terrible man management skills.,analysis,
"even without ads, it's still f***ing up the game though. The breaks are disrupting the flow and killing any momentum",analysis,borderline analysis/hot_take (gives a mechanism -> analysis)
Imagine getting owned in a match then watching the opposition do row row row your boat,reaction,
The fact that they hired Klinnsmann previously should tell you that their FA is not a serious organisation.,hot_take,
"Being unable to adapt your system around your players capabilities as a manager doesn’t absolve him of blame, it just is a fault in his ability as a manager. He’s obviously brilliant, he’s changed the game in many ways with his tactics and has mentored some of the greatest managers the game has seen. But there’s a reason his career has been far surpassed by many of his mentees.",analysis,
It’s absolutely f***ed how they have been treated,reaction,
Uploaded before my stream even played it 😭,reaction,
"I'm not giving fox a dime, peacock is free for me so vamanos!",reaction,
2010 doesn't count because Mexico had el conejito,hot_take,
"Norways current midfielder Patrick Berg is the son of former Norway midfielder Ørjan Berg, who is the son of former Norway midfielder Harald Berg. Three generations.",analysis,
"Thanks for the heads up, watching on Peacock instead",reaction,
They did not forgo anything. Some icelandic people have family names instead of patronymic. The name Guðjohnsen goes back to the eighteen hundreds.,analysis,
Memo is a childhood hero for many Mexicans. For him to get a moment in the Azteca during the World Cup is beyond a fairytale.,reaction,
Thought that was Artemis III for a second,reaction,
"Insane strike, but you could feel a US goal was coming",reaction,
A random team will sign a superstar and that will be their only notable player. You can say this for any team not in the top Euro leagues,hot_take,
Same. Hell f***ing yeah. So excited to take my son to see him play.,reaction,
Worst coach we ever had in the 20+ years I've seen in this club. And we had bad ones,hot_take,
Not the World Cup without him.,reaction,
Me at 43 after drinking 3 beers on a night out.,reaction,
More poles in Chicago than Poland at this point,reaction,
Telemundo has been fantastic so far,reaction,
"They had some notable youngsters mixed in with the old superstars. Mbokazi 20 yr old central defender for South Africa. Gutierrez who starts for Mexico was sold in the last window, Brady the US 3rd keeper. I think they’re building up pretty well.",analysis,
They were second in the asian qualifiers,analysis,
Him and Keylor Navas are the biggest breakout goalkeepers from the 2014 WC. Ochoa was not as lucky to get picked up by big European team.,analysis,
So he moves to Poland after all,reaction,
He should have been the starter in ‘10. Ultimately it didn’t matter as the result would have been the same.,hot_take,
Exactly same shit in two completely separate environment where team downs tool to screw the manager. RM fans will attack me but he is nowhere near good enough to deal with this kind of toxicity that he brings in the locker room,hot_take,
What an absolute shitshow of a team,reaction,borderline reaction/hot_take (pure emotive outburst -> reaction)
"Ehh... there's been a lot of controversy for them the past two years. You should look into it, the KFA has been corrupt for a long time and Korea has been going through something similar to Italy. This is a must needed wakeup call",hot_take,
"I've been supporting this team since they're were losing to the likes of Mauritania and Martinique and were ranked in the 100s and now I've gotten to see them win a knockout round game in the World Cup, unf***ingbelieveable. So very proud of this team.",reaction,
"Nine years ago, in February 2017, Canada were ranked 117th in the world behind Zimbabwe, Latvia and El Salvador. Now they're in the last 16 of the World Cup. Incredible.",analysis,
"I know it's not all on valverde but he's been involved in toxic situations lately The captain bares most responsibility for this type of thing, or at least should.",hot_take,
Infantino really is a Massive piece of shit,reaction,
Suarez has always been a rat with shit behavior.,hot_take,
WE'RE MAKING A CASE FOR OURSELVES!!!!!,reaction,
4th world cup appearance. 6 world cups in the squad though He didn't actually play a match in '06 or '10,analysis,
"Yea and to be fair, he has the one position that doesn't need fresh legs up 4-0.",analysis,
Banger goal and banger celebration,reaction,
Minnows like Germany in the Semis and Spain the final of the Nations League last year.,analysis,
Lol. It was a friendly game no one will remember.,hot_take,
Rowing with my dad in the living room at 4 AM watching the boys beat such a great football nation is unreal Memories for life,reaction,
Reffing has been fine. Irans players were just throwing themselves around looking for fouls that first match,analysis,borderline analysis/hot_take (observation rebuttal -> analysis)
South Africa realizes you cannot win a football game by just passing back to your GK,hot_take,
Very funny if you dont think mexican fans see an ad for el nuevo ford f-150 or cheby silverado basically every other ad break. Tons of latinos have trucks lol,analysis,borderline analysis/hot_take (counter-point with reasoning -> analysis)
"Their tactics didn’t even look like a Bielsa team, though. Just the same cynical murderball we’ve been seeing from Uruguay for like 20 years where their ideal game is a 1-0 win with 5 yellow cards.",analysis,
"Honestly for a tournament like the WC that has such a clear-cut selection criteria for squads, I'd say just making the squad should count. It's at the club level where squad registrations are a lot more fluid with youth players not taking up spots, players switching teams mid-competition, etc.. that actual appearances start mattering more",analysis,
"Between the refereeing decisions in Iran games and the treatment of the squad and staff it's fair to say FIFA have allowed a significant amount of government interference at this tournament, by the Americans, going directly against their own rules. Shameful.",analysis,
"It's actually crazy he never played for a big European team, crazy shot stopper in his prime",hot_take,
Davies looked a bit slow as expected as he's been out for a long time but he created two chances immediately with his passing. Good work with half the team injured making the final 16.,analysis,
"blue origin take notes, that's how you launch a rocket",reaction,
Eustáquio is a Canadian hero for scoring the winner. And a hero for everywhere else (except South Africa) for preventing another 30 minutes of that game.,reaction,
A goal has finally been scored this is NOT A DRILL,reaction,
"Ball gathered speed as it traveled, insane",reaction,
"I doubt Canada wins next game, but if by God they pull it off we're gonna have a global earthquake of all the money lost at once",hot_take,
Ronaldo asking for a rheumatologist live on air,reaction,
WE'VE WON A WORLD CUP KNOCKOUT MATCH COME ONNNNNNNN,reaction,
Yes is a close game or in a scenario where the team needs to get a goal from the best person available to score rather then trying to feed 1 player. But in the context of this game the game is over so their is no harm in letting a legend chase a possible hat trick. Every team is letting their big name forward or legend chase a hat trick in a game they are comfortably winning be fr man,analysis,
"I mean, he found his level as well. Uzbekistan is a nice opponent for a 41 year old, no disrespect to Uzbekistan.",hot_take,
Then Uruguay should have never hired him. At this point I blame the FA. He is not suddenyl gonna change dramatically at 70 years of age.,hot_take,
"Ultimately it didn’t matter as the result would have been the same. This applies to Mexico at any wc, doesn't matter the stage.",hot_take,
"why do people like you continue lying about Muslera being retired? On 25 April 2024, Muslera announced his retirement from the national team. Muslera was brought back to the Uruguay team by Bielsa. Muslera being there is 100% Bielsa's fault.",analysis,
"And for the continent of Africa, who have repeatedly been hate watching South Africa",reaction,
Doing something like that in-game is insane,reaction,
"Indeed! He has the most to blame. He brought many injured players, many players win low or no minutes played for their team. No pity for him, he could have resigned earlier but decided to okay til contract ends",hot_take,
"Most disappointing team of the tournament and it’s not even close, I can’t believe any serious manager would start Muslera after the mistakes done in the first match.",hot_take,
Friendship with icelandic clappers is OVER. Now norweigian rowers are my new best friend,reaction,
A lot of talk about Canada from people who’ve never even won a round of 32 match,hot_take,
"Do people really expect players (ie Muslera) to say ""nah m8 I've been shit lately"" when selected for a WC match? Blame is there for being shit. Not so sure if we should expect professionals not to back themselves if the coach does.",analysis,
f***ing disgusting how they’ve been treated.,reaction,
Maybe the best USMNT goal I’ve ever seen. Absolute banger,reaction,
"So that's why he won in 2022, no post-birthday hangover",reaction,
At least in Germany ads on public TV broadcasts are heavily restricted by law. They are allowed to show 20 minutes of ads per day and only before 8pm.,analysis,
Absolute piss missile,reaction,
